Site ID,AER Field Centre,PETRINEX FACILITY SUBTYPE,Well Status,EMISSION TYPE,MAJOR EQUIPMENT,COMPONENT SERVICE TYPE,COMPONENT TYPE,MEASUREMENT DEVICE,Leak TAG,THC Leak Rate (sm3/hr)
Well Gas 111,Grande Prairie,Gas Multiwell Group,GAS FLOW,Leak,Separator,Process Gas,Pump Seal,Highflow,200850,0.161527311
Well Gas 112,Midnapore,Gas Multiwell proration outside SE AB,GAS FLOW,Leak,Gas Pipeline Header,Process Gas,Open-Ended Line,Highflow,201831,0.308884633
Well Gas 114,Red Deer,Gas Multiwell Group,GAS FLOW,Leak,Wellhead,Process Gas,Valve,Estimate,1,2.838719092
Well Gas 120,Red Deer,Gas Multiwell Group,GAS FLOW,Leak,Separator,Process Gas,Connector,Highflow,201370,0.046297272
Well Gas 120,Red Deer,Gas Multiwell Group,GAS FLOW,Leak,Separator,Process Gas,Regulator,Highflow,201371,0.015432424
Well Gas 120,Red Deer,Gas Multiwell Group,GAS FLOW,Leak,Separator,Process Gas,Control Valve,Highflow,201372,0.030864848
Well Gas 129,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Separator,Process Gas,Regulator,Highflow,204082,0.015587799
Well Gas 129,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Separator,Process Gas,Regulator,Highflow,204083,0.015741626
Well Gas 13,Red Deer,Gas Single,GAS FLOW,Leak,Production Tank (fixed roof),Process Gas,Connector,Estimate,1,0.327976372
Well Gas 131,Midnapore,Gas Multiwell effluent,GAS PUMP,Leak,Wellhead,Process Gas,Connector,Highflow,204050,0.015670894
Well Gas 131,Midnapore,Gas Multiwell effluent,GAS PUMP,Leak,Wellhead,Process Gas,Regulator,Highflow,204049,0.047012682
Well Gas 132,Red Deer,Gas Multiwell Group,GAS PUMP,Vent,Production Tank (fixed roof),Process Gas,Open-Ended Line,Estimate,204084,0.374713701
Well Gas 132,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,SCVF,Highflow,204085,3.402082965
Well Gas 133,Midnapore,Gas Multiwell proration outside SE AB,GAS PUMP,Leak,Wellhead,Process Gas,Valve,Highflow,201912,0.366384648
Well Gas 136,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Valve,Highflow,204089,0.125367152
Well Gas 140,Midnapore,Gas Multiwell effluent,GAS PUMP,Leak,Wellhead,Process Gas,Control Valve,Highflow,204048,0.0634366
Well Gas 141,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Valve,Highflow,204086,0.17024424
Well Gas 141,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Valve,Highflow,204087,0.015274108
Well Gas 141,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Separator,Process Gas,Connector,Highflow,204088,0.030548217
Well Gas 148,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Connector,Highflow,204090,0.07586166
Well Gas 148,Red Deer,Gas Multiwell Group,GAS PUMP,Vent,Production Tank (fixed roof),Light Liquid,Open-Ended Line,Estimate,204091,0.36239845
Well Gas 152,Midnapore,Gas Multiwell Group,GAS PUMP,Leak,Separator,Process Gas,Connector,Highflow,204055,0.358455149
